state,year,quarter,suppression_used,total_prescriptions
nd,2020,1,NA,0
ne,2017,1,FALSE,21
ne,2017,1,TRUE,0
ne,2017,2,FALSE,19
ne,2017,2,TRUE,0
ne,2017,3,FALSE,31
ne,2017,4,FALSE,32
ne,2018,1,FALSE,26
ne,2018,1,TRUE,0
ne,2018,2,FALSE,28
ne,2018,2,TRUE,0
ne,2018,3,FALSE,23
ne,2018,3,TRUE,0
ne,2018,4,FALSE,22
ne,2018,4,TRUE,0
ne,2019,1,FALSE,25
ne,2019,1,TRUE,0
ne,2019,2,FALSE,17
ne,2019,2,TRUE,0
ne,2019,3,TRUE,0
ne,2019,4,TRUE,0
ne,2020,1,NA,0
nh,2017,1,TRUE,0
nh,2017,2,TRUE,0
nh,2017,3,TRUE,0
nh,2017,4,TRUE,0
nh,2018,1,TRUE,0
nh,2018,2,FALSE,14
nh,2018,3,TRUE,0
nh,2018,4,FALSE,17
nh,2019,1,FALSE,19
nh,2019,1,TRUE,0
nh,2019,2,FALSE,12
nh,2019,2,TRUE,0
nh,2019,3,TRUE,0
nh,2019,4,TRUE,0
nh,2020,1,NA,0
nj,2017,1,FALSE,371
nj,2017,1,TRUE,0
nj,2017,2,FALSE,427
nj,2017,2,TRUE,0
nj,2017,3,FALSE,416
nj,2017,3,TRUE,0
nj,2017,4,FALSE,393
nj,2017,4,TRUE,0
nj,2018,1,FALSE,384
nj,2018,1,TRUE,0
nj,2018,2,FALSE,368
nj,2018,2,TRUE,0
nj,2018,3,FALSE,350
nj,2018,3,TRUE,0
nj,2018,4,FALSE,338
nj,2018,4,TRUE,0
nj,2019,1,FALSE,316
nj,2019,1,TRUE,0
nj,2019,2,FALSE,320
nj,2019,2,TRUE,0
nj,2019,3,FALSE,261
nj,2019,3,TRUE,0
nj,2019,4,FALSE,224
nj,2019,4,TRUE,0
nj,2020,1,NA,195
nm,2017,1,FALSE,91
nm,2017,1,TRUE,0
nm,2017,2,FALSE,86
nm,2017,2,TRUE,0
nm,2017,3,FALSE,96
nm,2017,4,FALSE,76
nm,2017,4,TRUE,0
nm,2018,1,FALSE,92
nm,2018,1,TRUE,0
nm,2018,2,FALSE,78
nm,2018,2,TRUE,0
nm,2018,3,FALSE,90
nm,2018,3,TRUE,0
nm,2018,4,FALSE,64
nm,2019,1,FALSE,64
nm,2019,1,TRUE,0
nm,2019,3,FALSE,34
nm,2019,3,TRUE,0
nm,2019,4,FALSE,15
nm,2019,4,TRUE,0
nv,2017,1,FALSE,201
nv,2017,2,FALSE,200
nv,2017,3,FALSE,197
nv,2017,4,FALSE,189
nv,2018,1,FALSE,137
nv,2018,1,TRUE,0
nv,2018,2,FALSE,196
nv,2018,3,FALSE,178
nv,2018,4,FALSE,179
nv,2019,1,FALSE,172
nv,2019,2,FALSE,146
