state,year,quarter,gennme_c,suppression_used,total_prescriptions
md,2018,1,Febuxostat,FALSE,256
md,2018,1,Febuxostat,TRUE,0
md,2018,2,Febuxostat,FALSE,230
md,2018,2,Febuxostat,TRUE,0
md,2018,3,Febuxostat,FALSE,208
md,2018,3,Febuxostat,TRUE,0
md,2018,4,Febuxostat,FALSE,215
md,2018,4,Febuxostat,TRUE,0
md,2019,1,Febuxostat,FALSE,187
md,2019,1,Febuxostat,TRUE,0
md,2019,2,Febuxostat,FALSE,173
md,2019,2,Febuxostat,TRUE,0
md,2019,3,Febuxostat,FALSE,119
md,2019,3,Febuxostat,TRUE,0
md,2019,4,Febuxostat,FALSE,109
md,2019,4,Febuxostat,TRUE,0
md,2020,1,Febuxostat,NA,113
me,2017,1,Febuxostat,FALSE,16
me,2017,1,Febuxostat,TRUE,0
me,2017,2,Febuxostat,FALSE,31
me,2017,2,Febuxostat,TRUE,0
me,2017,3,Febuxostat,FALSE,35
me,2017,3,Febuxostat,TRUE,0
me,2017,4,Febuxostat,FALSE,45
me,2018,1,Febuxostat,FALSE,23
me,2018,1,Febuxostat,TRUE,0
me,2018,2,Febuxostat,FALSE,23
me,2018,2,Febuxostat,TRUE,0
me,2018,3,Febuxostat,FALSE,23
me,2018,3,Febuxostat,TRUE,0
me,2018,4,Febuxostat,FALSE,25
me,2018,4,Febuxostat,TRUE,0
me,2019,1,Febuxostat,FALSE,24
me,2019,1,Febuxostat,TRUE,0
me,2019,2,Febuxostat,FALSE,22
me,2019,2,Febuxostat,TRUE,0
me,2019,3,Febuxostat,FALSE,20
me,2019,3,Febuxostat,TRUE,0
me,2019,4,Febuxostat,FALSE,20
me,2019,4,Febuxostat,TRUE,0
me,2020,1,Febuxostat,NA,25
mi,2017,1,Febuxostat,FALSE,312
mi,2017,2,Febuxostat,FALSE,315
mi,2017,2,Febuxostat,TRUE,0
mi,2017,3,Febuxostat,FALSE,349
mi,2017,3,Febuxostat,TRUE,0
mi,2017,4,Febuxostat,FALSE,303
mi,2017,4,Febuxostat,TRUE,0
mi,2018,1,Febuxostat,FALSE,280
mi,2018,1,Febuxostat,TRUE,0
mi,2018,2,Febuxostat,FALSE,315
mi,2018,2,Febuxostat,TRUE,0
mi,2018,3,Febuxostat,FALSE,276
mi,2018,3,Febuxostat,TRUE,0
mi,2018,4,Febuxostat,FALSE,309
mi,2018,4,Febuxostat,TRUE,0
mi,2019,1,Febuxostat,FALSE,283
mi,2019,1,Febuxostat,TRUE,0
mi,2019,2,Febuxostat,FALSE,264
mi,2019,2,Febuxostat,TRUE,0
mi,2019,3,Febuxostat,FALSE,189
mi,2019,3,Febuxostat,TRUE,0
mi,2019,4,Febuxostat,FALSE,161
mi,2019,4,Febuxostat,TRUE,0
mi,2020,1,Febuxostat,NA,186
mn,2017,1,Febuxostat,FALSE,300
mn,2017,1,Febuxostat,TRUE,0
mn,2017,2,Febuxostat,FALSE,321
mn,2017,2,Febuxostat,TRUE,0
mn,2017,3,Febuxostat,FALSE,273
mn,2017,3,Febuxostat,TRUE,0
mn,2017,4,Febuxostat,FALSE,274
mn,2017,4,Febuxostat,TRUE,0
mn,2018,1,Febuxostat,FALSE,143
mn,2018,1,Febuxostat,TRUE,0
mn,2018,2,Febuxostat,FALSE,139
mn,2018,2,Febuxostat,TRUE,0
mn,2018,3,Febuxostat,FALSE,138
mn,2018,3,Febuxostat,TRUE,0
mn,2018,4,Febuxostat,FALSE,175
mn,2018,4,Febuxostat,TRUE,0
mn,2019,1,Febuxostat,FALSE,176
mn,2019,1,Febuxostat,TRUE,0
mn,2019,2,Febuxostat,FALSE,178
mn,2019,2,Febuxostat,TRUE,0
mn,2019,3,Febuxostat,FALSE,152
mn,2019,3,Febuxostat,TRUE,0
mn,2019,4,Febuxostat,FALSE,129
mn,2019,4,Febuxostat,TRUE,0
mn,2020,1,Febuxostat,NA,110
mo,2017,1,Febuxostat,FALSE,197
mo,2017,2,Febuxostat,FALSE,210
mo,2017,3,Febuxostat,FALSE,240
mo,2017,4,Febuxostat,FALSE,232
mo,2018,1,Febuxostat,FALSE,235
mo,2018,2,Febuxostat,FALSE,241
mo,2018,3,Febuxostat,FALSE,219
mo,2018,4,Febuxostat,FALSE,235
mo,2019,1,Febuxostat,FALSE,228
mo,2019,2,Febuxostat,FALSE,205
mo,2019,3,Febuxostat,FALSE,156
mo,2019,3,Febuxostat,TRUE,0
mo,2019,4,Febuxostat,FALSE,119
mo,2019,4,Febuxostat,TRUE,0
mo,2020,1,Febuxostat,NA,75
ms,2017,1,Febuxostat,FALSE,73
ms,2017,1,Febuxostat,TRUE,0
ms,2017,2,Febuxostat,FALSE,79
ms,2017,2,Febuxostat,TRUE,0
